algorithm,config,compression_ratio,compress_speed_mbps,decompress_speed_mbps,in_algo_cspeed_frontier,in_algo_dspeed_frontier
zstd,-1,6.5610899761125365,460.4,993.68,True,False
zstd,-3,6.526573688681165,371.26,963.29,False,False
zstd,-5,6.741823654077641,164.18,944.72,True,False
zstd,-7,7.154786413872116,73.61,1098.38,True,False
zstd,-9,7.356921294533009,52.84,1089.64,True,False
zstd,-11,7.769512833944473,26.99,1270.76,True,False
zstd,-13,8.196844589053466,14.63,1577.45,True,False
zstd,-15,8.836573938132748,6.74,1961.78,True,True
zstd,-16,8.93681441352263,5.08,1873.37,True,False
zstd,-19,9.347829022891485,2.49,1891.35,True,True
xz,-1,8.940017565915236,33.18,167.64,True,False
xz,-3,9.315757420095805,14.64,194.13,True,False
xz,-5,10.599761356312891,3.07,232.31,True,False
xz,-7,10.996033658301515,2.46,245.1,True,True
xz,-9,10.996033658301515,2.45,228.21,False,False
zlib,-1,5.916146048872424,169.91,505.89,True,False
zlib,-3,6.599028489073283,98.45,588.67,True,True
zlib,-5,7.0554597093353655,61.77,532.34,True,False
zlib,-7,7.326221085360206,25.24,538.61,True,False
zlib,-9,7.50733477106295,3.16,553.13,True,True
openzl,,12.723003184610931,169.4525483411607,1297.868949287931,True,True
openzl,,12.677039167025338,187.57511771547294,1059.5312810935754,True,False
openzl,,11.843858060560256,188.72458578348952,1624.293056109638,True,True
openzl,,11.8410045419942,189.06826190281078,1514.9711083873226,True,False
openzl,,11.798148300715054,199.14070891514498,1663.6728545904675,True,True
openzl,,11.798148300715054,186.77790395664445,1452.5613313466665,False,False
openzl,,11.562272051494785,474.0903097655782,1456.8773481980922,True,False
openzl,,9.926643003119286,223.9233056639177,2403.1038702901633,False,True
openzl,,9.715435362373087,190.72322133842792,2377.971060964367,False,False
openzl,,9.715003544033742,201.1698285946798,2162.6451910233473,False,False
openzl,,8.922299195309572,561.1198184078257,1052.4200445756005,True,False
openzl,,6.472898664571877,291.03548803049836,1875.7469410983592,False,False
openzl,,6.472898664571877,291.6486418157814,1833.1964933654688,False,False
openzl,,6.423346374517336,279.45078274561524,1926.0416980681425,False,False
openzl,,5.433663656512739,300.22012499051186,1929.7603226675833,False,False
openzl,,5.131872348234195,301.8106634011984,1984.2946321279173,False,False
openzl,,4.565706737643037,563.0101608519119,2144.038658117275,False,False
openzl,,4.565706737643037,617.8345086137642,2202.618452212054,False,False
openzl,,4.565706737643037,668.5383129426916,2254.525516339089,True,False
openzl,,3.9937933564680024,547.6238198217206,3779.3693406743414,False,True
openzl,,3.9294285621019855,565.1977462641879,2923.6931958182267,False,False
openzl,,2.1332938826836303,969.2081495484143,1194.2355223069412,True,False
openzl,,2.1332900472816214,931.563204132744,1315.7330300327749,False,False
openzl,,1.9999788105188436,1293.8678547227564,1987.2904065538626,False,False
openzl,,1.9999788105188436,1326.8666730566472,1943.391679320906,True,False
openzl,,1.9999706237941006,1341.1809158419437,1958.319874568239,True,False
openzl,,1.9999706237941006,1311.793143422098,1796.7642356972424,False,False
openzl,,0.9999968697123723,1609.2346858707215,2963.8912777399128,False,False
openzl,,0.9999968697123723,1679.0728420592998,2909.641213191248,False,False
openzl,,0.9999953045759075,1640.0438349672718,2876.9873433505827,False,False
